CLAVE,DIST,DISTRITO,DPTO,DPTO_DESC,distritos,LATITUDE,LONGITUDE
0212,12,25 DE DICIEMBRE,02,SAN PEDRO,25 de Diciembre,-24.81318437,-56.72643255
0518,18,3 DE FEBRERO,05,CAAGUAZÚ,3 de Febrero,-25.24783809,-55.77893027
0611,11,3 DE MAYO,06,CAAZAPÁ,3 de Mayo,-26.48105706,-56.09615483
0602,02,ABAÍ,06,CAAZAPÁ,Abaí,-26.03979964,-55.94650759
0902,02,ACAHAY,09,PARAGUARÍ,Acahay,-25.91320291,-57.11343247
1202,02,ALBERDI,12,ÑEEMBUCÚ,Alberdi,-26.18828062,-58.1428305
0725,25,ALTO VERÁ,07,ITAPÚA,Alto Verá,-26.75175492,-55.76858063
0302,02,ALTOS,03,CORDILLERA,Altos,-25.26427225,-57.24910238
0202,02,ANTEQUERA,02,SAN PEDRO,Antequera,-24.08311277,-57.20077712
1101,01,AREGUÁ,11,CENTRAL,Areguá,-25.31914602,-57.37784597
0303,03,ARROYOS Y ESTEROS,03,CORDILLERA,Arroyos y Esteros,-25.05445931,-57.09601022
0000,00,ASUNCIÓN,00,ASUNCIÓN,Asunción,-25.28570214,-57.60055536
0304,04,ATYRÁ,03,CORDILLERA,Atyrá,-25.29016067,-57.17321631
0802,02,AYOLAS,08,MISIONES,Ayolas,-27.37716723,-56.82981953
0108,08,AZOTE'Y,01,CONCEPCIÓN,Azotey,-23.31241347,-56.48700418
1704,04,BAHÍA NEGRA,17,ALTO PARAGUAY,Bahia Negra,-20.23503731,-58.16772434
0102,02,BELÉN,01,CONCEPCIÓN,Belén,-23.46984568,-57.26141283
0702,02,BELLA VISTA,07,ITAPÚA,Bella Vista,-27.04901681,-55.57189301
1302,02,BELLA VISTA,13,AMAMBAY,Bella Vista,-22.12199132,-56.51315316
1502,02,BENJAMÍN ACEVAL,15,PRESIDENTE HAYES,Benjamín Aceval,-24.99846212,-57.55679219
0402,02,BORJA,04,GUAIRÁ,Borja,-25.95133324,-56.49613013
0603,03,BUENA VISTA,06,CAAZAPÁ,Buena Vista,-26.18708919,-56.08372154
0301,01,CAACUPÉ,03,CORDILLERA,Caacupé,-25.38770738,-57.14712446
0502,02,CAAGUAZÚ,05,CAAGUAZÚ,Caaguazú,-25.47380265,-56.01037546
